employee_code,year,quarter,Total OTE,Super Payable,Total Disbursed,Variance
1155,2017,3,24396.73,2317.68935,1874.42,443.26935000000003
1155,2017,4,29534.91,2805.81645,2290.98,514.8364499999998
1155,2018,1,401.92,38.1824,1145.49,-1107.3076
1963,2017,3,21108.96,2005.3511999999998,1642.23,363.1211999999998
1963,2017,4,25356.75,2408.89125,2062.17,346.72125000000005
1963,2018,1,21132.91,2007.62645,2305.94,-298.3135500000001
1963,2018,2,31493.82,2991.9129,2676.4700000000003,315.44289999999955
2355,2017,3,23602.52,2242.2394,1840.35,401.8894
2355,2017,4,29319.54,2785.3563,2272.49,512.8663000000001
2355,2018,1,34835.560000000005,3309.3782000000006,3195.44,113.9382000000005
2355,2018,2,26333.160000000003,2501.6502000000005,3679.9300000000003,-1178.2797999999998
2355,2018,3,33518.94,3184.2993,1968.15,1216.1493
2355,2018,4,29271.79,2780.8200500000003,2494.79,286.0300500000003
2355,2019,1,25809.77,2451.92815,2796.86,-344.93184999999994
2355,2019,2,29631.620000000003,2815.0039,3250.05,-435.0461
2355,2019,3,0.0,0.0,787.26,-787.26
50015418,2017,3,24772.289999999997,2353.36755,1948.96,404.4075499999999
50015418,2017,4,34420.2,3269.919,2621.67,648.2489999999998
50015418,2018,1,25161.19,2390.3130499999997,2739.31,-348.9969500000002
50015418,2018,2,26626.489999999998,2529.51655,3295.98,-766.4634500000002
50015418,2018,3,29607.95,2812.75525,2191.43,621.3252500000003
50015418,2018,4,30873.71,2933.00245,2406.66,526.3424500000001
50015418,2019,1,25547.079999999998,2426.9726,2807.77,-380.7973999999999
50015418,2019,2,39200.36,3724.0342,4125.15,-401.1157999999996
50015418,2019,3,26233.47,2492.17965,2061.28,430.89964999999984
50015418,2019,4,28442.239999999998,2702.0128,2484.55,217.4627999999998
50015418,2020,1,0.0,0.0,1049.43,-1049.43
50015418,2020,2,3293.31,312.86445,312.86,0.0044499999999629836
