payslip_id,end,employee_code,code,amount,ote_type,date,year,quarter
10d3e5e3-2556-4f56-8053-6b1f39975ea1,2018-01-14,1155,13 - Public Hol,401.92,13,2018-01-14,2018,1
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,1 - Normal,1733.8,1,2018-01-14,2018,1
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,10 - Annual Lve,1387.04,10,2018-01-14,2018,1
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,13 - Public Hol,346.76,13,2018-01-14,2018,1
3ff7c572-49f1-4a43-abb4-b09142b26540,2018-01-14,1963,A010 - Lve Ldg 17.5%,242.73,A010,2018-01-14,2018,1
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,1 - Normal,3707.36,1,2018-01-14,2018,1
ad70b6e8-1962-4b69-82c5-ce0d80fa814d,2018-01-14,2355,13 - Public Hol,436.16,13,2018-01-14,2018,1
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,1 - Normal,3252.02,1,2018-01-14,2018,1
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,10 - Annual Lve,867.21,10,2018-01-14,2018,1
1f725d94-9e6b-474b-8b31-43558ecc3589,2018-01-14,50015418,A010 - Lve Ldg 17.5%,151.76,A010,2018-01-14,2018,1
1c0b5d4a-9ee6-40e6-8377-16be6b4e6cda,2018-05-20,1963,1 - Normal,3467.59,1,2018-05-20,2018,2
93932936-61ef-4867-bfe8-db54fed12076,2018-05-20,2355,1 - Normal,4143.52,1,2018-05-20,2018,2
76cb04bd-e3d9-4a06-97dd-2dba91f12076,2018-05-20,50015418,1 - Normal,4119.23,1,2018-05-20,2018,2
f18af29c-da5f-4aca-968a-72142c81e64c,2018-08-26,2355,1 - Normal,4143.52,1,2018-08-26,2018,3
f18af29c-da5f-4aca-968a-72142c81e64c,2018-08-26,2355,A073 - NW Site Allowance,2082.5,A073,2018-08-26,2018,3
4319e3c2-770c-44e2-b027-a5656ea51dfe,2018-08-26,50015418,1 - Normal,3888.86,1,2018-08-26,2018,3
4319e3c2-770c-44e2-b027-a5656ea51dfe,2018-08-26,50015418,11 - Sck/Pers,333.33,11,2018-08-26,2018,3
04646fb6-3b87-428e-8d5b-18b1db39d910,2019-10-06,50015418,1 - Normal,4348.88,1,2019-10-06,2019,4
208eeaaf-2dc6-44a9-853e-57ff8624a77b,2017-12-03,1155,1 - Normal,4019.23,1,2017-12-03,2017,4
ac04d6fe-32a6-4cba-9bfa-4652218ff3b4,2017-12-03,1963,1 - Normal,3467.59,1,2017-12-03,2017,4
8731f565-dd4c-4bb8-860b-0be9b2ba5b2d,2017-12-03,2355,1 - Normal,3953.52,1,2017-12-03,2017,4
5ba90c59-86d6-4f71-9e96-7ad6f280dcaf,2017-12-03,50015418,1 - Normal,3685.63,1,2017-12-03,2017,4
5ba90c59-86d6-4f71-9e96-7ad6f280dcaf,2017-12-03,50015418,10 - Annual Lve,433.6,10,2017-12-03,2017,4
5ba90c59-86d6-4f71-9e96-7ad6f280dcaf,2017-12-03,50015418,A010 - Lve Ldg 17.5%,75.88,A010,2017-12-03,2017,4
933f4a3e-22a4-4c1c-8e5b-32d35247a68e,2018-09-09,2355,1 - Normal,1744.64,1,2018-09-09,2018,3
933f4a3e-22a4-4c1c-8e5b-32d35247a68e,2018-09-09,2355,10 - Annual Lve,2398.88,10,2018-09-09,2018,3
933f4a3e-22a4-4c1c-8e5b-32d35247a68e,2018-09-09,2355,A010 - Lve Ldg 17.5%,419.8,A010,2018-09-09,2018,3
933f4a3e-22a4-4c1c-8e5b-32d35247a68e,2018-09-09,2355,A073 - NW Site Allowance,612.0,A073,2018-09-09,2018,3
304059c0-f9a4-43fb-8ee8-61bcc1d9eadc,2018-09-09,50015418,1 - Normal,4222.2,1,2018-09-09,2018,3
609de80d-beac-44d3-959b-9473183ba92d,2019-07-14,50015418,1 - Normal,4348.88,1,2019-07-14,2019,3
89ef5624-5311-495f-9c25-5e41b1e7f79c,2018-02-11,1963,1 - Normal,3285.09,1,2018-02-11,2018,1
89ef5624-5311-495f-9c25-5e41b1e7f79c,2018-02-11,1963,11 - Sck/Pers,182.5,11,2018-02-11,2018,1
b18210c2-b56d-4fee-a44d-23762cfbfa82,2018-02-11,2355,1 - Normal,4702.35,1,2018-02-11,2018,1
b18210c2-b56d-4fee-a44d-23762cfbfa82,2018-02-11,2355,10 - Annual Lve,327.12,10,2018-02-11,2018,1
b18210c2-b56d-4fee-a44d-23762cfbfa82,2018-02-11,2355,A010 - Lve Ldg 17.5%,57.25,A010,2018-02-11,2018,1
a6b4cb78-83a1-4a81-9228-8b7e2e408d45,2018-02-11,50015418,1 - Normal,4119.23,1,2018-02-11,2018,1
75b14b00-7450-4178-b7ff-882d523013ee,2019-05-05,2355,1 - Normal,3271.2,1,2019-05-05,2019,2
75b14b00-7450-4178-b7ff-882d523013ee,2019-05-05,2355,13 - Public Hol,872.32,13,2019-05-05,2019,2
78528b3a-3232-48a7-8ef7-cf9fc8b95c01,2019-05-05,50015418,1 - Normal,4222.2,1,2019-05-05,2019,2
ef6b266a-7c1a-4780-935f-681e713c46cd,2019-05-05,50015418,A115 -  Incentive,9197.75,A115,2019-05-05,2019,2
76a5ae98-7f08-42f5-9beb-bb2a42f061da,2019-09-08,50015418,1 - Normal,4005.55,1,2019-09-08,2019,3
76a5ae98-7f08-42f5-9beb-bb2a42f061da,2019-09-08,50015418,10 - Annual Lve,343.33,10,2019-09-08,2019,3
76a5ae98-7f08-42f5-9beb-bb2a42f061da,2019-09-08,50015418,A010 - Lve Ldg 17.5%,60.08,A010,2019-09-08,2019,3
adad8f87-cc92-4caf-9ffa-41ad121f787b,2019-02-10,2355,1 - Normal,4143.52,1,2019-02-10,2019,1
adad8f87-cc92-4caf-9ffa-41ad121f787b,2019-02-10,2355,13 - Public Hol,436.16,13,2019-02-10,2019,1
f13ac8db-69c8-47d7-ab37-eb9f1bd74ffe,2019-02-10,50015418,1 - Normal,4222.2,1,2019-02-10,2019,1
0c5059cc-7478-469a-a21a-a45e6ca17487,2018-07-15,2355,1 - Normal,4143.52,1,2018-07-15,2018,3
a076fa17-3797-4e2e-b47e-bf02084813bf,2018-07-15,50015418,1 - Normal,2444.43,1,2018-07-15,2018,3
a076fa17-3797-4e2e-b47e-bf02084813bf,2018-07-15,50015418,10 - Annual Lve,888.88,10,2018-07-15,2018,3
a076fa17-3797-4e2e-b47e-bf02084813bf,2018-07-15,50015418,11 - Sck/Pers,888.88,11,2018-07-15,2018,3
a076fa17-3797-4e2e-b47e-bf02084813bf,2018-07-15,50015418,A010 - Lve Ldg 17.5%,155.55,A010,2018-07-15,2018,3
24a438be-980f-43d4-8465-5b1d97cc5aa9,2017-11-05,1155,1 - Normal,3617.31,1,2017-11-05,2017,4
24a438be-980f-43d4-8465-5b1d97cc5aa9,2017-11-05,1155,10 - Annual Lve,401.92,10,2017-11-05,2017,4
24a438be-980f-43d4-8465-5b1d97cc5aa9,2017-11-05,1155,A010 - Lve Ldg 17.5%,70.34,A010,2017-11-05,2017,4
e23c1f3c-1fca-4e8a-948d-9b37341e3c44,2017-11-05,1155,A115 -  Incentive,485.93,A115,2017-11-05,2017,4
d4764316-db48-45c9-958f-ad5c263eeab4,2017-11-05,1963,1 - Normal,3467.59,1,2017-11-05,2017,4
ccc6bb61-11b7-41a9-83bf-0f29cff2a1c2,2017-11-05,2355,1 - Normal,3953.52,1,2017-11-05,2017,4
f316fa02-3d3d-46f1-9e86-8a366713d1c1,2017-11-05,50015418,1 - Normal,4119.23,1,2017-11-05,2017,4
a9f983da-12f0-4453-874b-bac5be793f73,2017-11-05,50015418,15 - A/L Cash Out,2059.62,15,2017-11-05,2017,4
a9f983da-12f0-4453-874b-bac5be793f73,2017-11-05,50015418,A010 - Lve Ldg 17.5%,360.43,A010,2017-11-05,2017,4
f7b7eb60-deb5-4f0c-ab9b-9d55fd6f465f,2018-01-28,1963,1 - Normal,3467.59,1,2018-01-28,2018,1
4d789714-c7c8-4dcb-8f1c-890d35d44f1f,2018-01-28,2355,1 - Normal,6133.5,1,2018-01-28,2018,1
4d789714-c7c8-4dcb-8f1c-890d35d44f1f,2018-01-28,2355,13 - Public Hol,327.12,13,2018-01-28,2018,1
81a22f99-c5b6-4af1-92d9-03c22f2c124f,2018-01-28,50015418,1 - Normal,4119.23,1,2018-01-28,2018,1
